Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P9WFC7	reviewed	UVRB_MYCTU	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB Rv1633 MTCY01B2.25	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	719
P9WFS9	reviewed	SYV_MYCTU	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS Rv2448c MTV008.04c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	886
P9WFU5	reviewed	SYM_MYCTU	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG metS Rv1007c MTCI237.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	519
P9WFV3	reviewed	SYI_MYCTU	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS Rv1536 MTCY48.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1041
P9WFX5	reviewed	TRPD_MYCTU	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Rv2192c MTCY190.03c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	370
P9WFZ1	reviewed	TRMI_MYCTU	tRNA (adenine(58)-N(1))-methyltransferase TrmI (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase) (tRNA(m1A58)MTase)	trmI Rv2118c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280
P9WG23	reviewed	DRRB_MYCTU	Doxorubicin resistance ABC transporter permease protein DrrB	drrB Rv2937	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	289
P9WG31	reviewed	RPFA_MYCTU	Resuscitation-promoting factor RpfA (EC 3.-.-.-)	rpfA Rv0867c MTV043.60c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	407
P9WG37	reviewed	KDC_MYCTU	Alpha-keto-acid decarboxylase (KDC) (EC 4.1.1.-)	kdc Rv0853c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	560
P9WG51	reviewed	LYPGN_MYCTU	Lysoplasmalogenase (EC 3.3.2.2)	Rv1401 MTCY21B4.18	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	261
P9WG55	reviewed	TIG_MYCTU	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig Rv2462c MTV008.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	466
P9WG69	reviewed	FADA4_MYCTU	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) [Cleaved into: Probable acetyl-CoA acetyltransferase, propeptide removed]	fadA4 Rv1323 MTCY130.08	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	393
P9WG75	reviewed	THIE_MYCTU	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE Rv0414c MTCY22G10.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	222
P9WG77	reviewed	THID_MYCTU	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	thiD Rv0422c MTCY22G10.19c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	275
P9WGC5	reviewed	SUCC_MYCTU	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Rv0951 MTCY10D7.23c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	387
P9WGE1	reviewed	RSFB_MYCTU	Anti-sigma-F factor antagonist RsfB (Anti-anti-sigma F factor RsfB)	rsfB Rv3687c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	122
P9WGE5	reviewed	SPEE_MYCTU	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE Rv2601 MTCI270.04c MTV001.02	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	523
P9WGF1	reviewed	MMR_MYCTU	Multidrug resistance protein Mmr	mmr Rv3065 MTCY22D7.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	107
P9WGG5	reviewed	SIGG_MYCTU	ECF RNA polymerase sigma factor SigG (ECF sigma factor SigG) (Alternative RNA polymerase sigma factor SigG) (RNA polymerase sigma-G factor) (Sigma-g factor)	sigG Rv0182c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	370
P9WGG9	reviewed	RPSD_MYCTU	ECF RNA polymerase sigma factor SigD (ECF sigma factor SigD) (Alternative RNA polymerase sigma factor SigD) (RNA polymerase sigma-D factor) (Sigma-D factor)	sigD Rv3414c MTCY78.15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	212
P9WGH5	reviewed	SIGL_MYCTU	ECF RNA polymerase sigma factor SigL (ECF sigma factor SigL) (Alternative RNA polymerase sigma factor SigL) (RNA polymerase sigma-L factor) (Sigma-L factor)	sigL Rv0735	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	177
P9WGH7	reviewed	SIGK_MYCTU	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK Rv0445c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	187
P9WGK7	reviewed	PRRB_MYCTU	Sensor-type histidine kinase PrrB (EC 2.7.13.3)	prrB Rv0902c MTCY31.30c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	446
P9WGM5	reviewed	NARL_MYCTU	Probable transcriptional regulatory protein NarL	narL Rv0844c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	216
P9WGN1	reviewed	KDPE_MYCTU	Transcriptional regulatory protein KdpE	kdpE Rv1027c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	226
P9WGT9	reviewed	PSTS2_MYCTU	Phosphate-binding protein PstS 2 (PBP 2) (PstS-2)	pstS2 Rv0932c MTCY08D9.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	370
P9WGV1	reviewed	METK_MYCTU	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK Rv1392 MTCY21B4.09	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	403
P9WGW3	reviewed	RUVA_MYCTU	Holliday junction branch migration complex subunit RuvA	ruvA Rv2593c MTCY227.08	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	196
P9WGX5	reviewed	RSKA_MYCTU	Anti-sigma-K factor RskA (Regulator of SigK) (Sigma-K anti-sigma factor RskA)	rskA Rv0444c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	232
P9WGY7	reviewed	RPOC_MYCTU	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC Rv0668 MTCI376.07c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1316
P9WGZ1	reviewed	RPOA_MYCTU	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA Rv3457c MTCY13E12.10c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	347
P9WH03	reviewed	RNC_MYCTU	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc Rv2925c MTCY338.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240
P9WH05	reviewed	DEAD_MYCTU	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A)	deaD csdA Rv1253 MTCY50.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	563
P9WH09	reviewed	RMLD_MYCTU	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	rmlD Rv3266c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	304
P9WH15	reviewed	RLMN_MYCTU	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN Rv2880c/Rv2879c MTCY274.11c/MTCY274.10c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	364
P9WH43	reviewed	RS1_MYCTU	Small ribosomal subunit protein bS1 (30S ribosomal protein S1)	rpsA Rv1630 MTCY01B2.22	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	481
P9WH77	reviewed	NRDZ_MYCTU	Vitamin B12-dependent ribonucleoside-diphosphate reductase (B12-dependent RNR) (EC 1.17.4.1) (Ribonucleotide reductase)	nrdZ Rv0570	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	706
P9WHE9	reviewed	RISB_MYCTU	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH Rv1416 MTCY21B4.34	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	160
P9WHJ1	reviewed	RECD_MYCTU	RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	recD Rv0629c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	575
P9WHJ5	reviewed	RBPA_MYCTU	RNA polymerase-binding protein RbpA	rbpA Rv2050	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	111
P9WHK5	reviewed	PYRH_MYCTU	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH Rv2883c MTCY274.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	261
P9WHL7	reviewed	PURL_MYCTU	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL Rv0803 MTCY07H7A.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	766
P9WHM5	reviewed	PUR3_MYCTU	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	purN Rv0956	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	215
P9WHP5	reviewed	PSPA_MYCTU	PspA protein (35 kDa protein)	pspA Rv2744c MTV002.09c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	270
P9WHQ7	reviewed	PUR1_MYCTU	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF Rv0808 MTCY07H7A.01c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	527
P9WHR7	reviewed	LEXA_MYCTU	LexA repressor (EC 3.4.21.88)	lexA Rv2720 MTCY05A6.41	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	236
P9WHU5	reviewed	RIPB_MYCTU	Peptidoglycan endopeptidase RipB (EC 3.4.-.-) (Macrophage invasion and intracellular persistence protein B) (Resuscitation-promoting factor interaction partner B) (Rpf-interacting protein B)	ripB Rv1478	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	241
P9WHV9	reviewed	PPK1_MYCTU	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Rv2984 MTCY349.03c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	742
P9WHW3	reviewed	PPIA_MYCTU	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin) (Rotamase A)	ppiA Rv0009 MTCY10H4.08	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	182
P9WHW9	reviewed	PPE68_MYCTU	PPE family immunomodulator PPE68	PPE68 Rv3873	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	368
P9WI27	reviewed	PPE17_MYCTU	PPE family protein PPE17	PPE17 Rv1168c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	346
P9WI47	reviewed	PPE02_MYCTU	PPE family protein PPE2	PPE2 Rv0256c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	556
P9WI87	reviewed	PILIN_MYCTU	Pilin (Pili structural subunit)	mtp Rv3312.1 Rv3312A	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	103
P9WI95	reviewed	PHOU2_MYCTU	Phosphate-specific transport system accessory protein PhoU homolog 2 (Pst system accessory protein PhoU homolog 2)	phoU2 phoY2 Rv0821c MTV043.13c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	213
P9WIA9	reviewed	PHLD_MYCTU	Phospholipase C D (PLC-D) (EC 3.1.4.3)	plcD Rv1755c MTCY28.21c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280
P9WIB1	reviewed	PHLC_MYCTU	Phospholipase C C (PLC-C) (EC 3.1.4.3)	plcC Rv2349c MTCY98.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	517
P9WIC5	reviewed	PHBS_MYCTU	Chorismate pyruvate-lyase (EC 4.1.3.40) (4-HB synthase) (p-hydroxybenzoic acid synthase)	Rv2949c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	199
P9WIC9	reviewed	GPMA_MYCTU	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA gpm gpm1 pgm Rv0489 MTCY20G9.15	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	249
P9WIE1	reviewed	BCP_MYCTU	Putative peroxiredoxin Rv2521 (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Rv2521)	bcp bcp2 Rv2521	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	157
P9WIG3	reviewed	PG03_MYCTU	PE-PGRS family protein PE_PGRS3	PE_PGRS3 Rv0278c MTV035.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	957
P9WIG7	reviewed	PE35_MYCTU	PE family immunomodulator PE35	PE35 Rv3872	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	99
P9WII5	reviewed	MAZF4_MYCTU	Endoribonuclease MazF4 (EC 3.1.-.-) (Toxin MazF4) (mRNA interferase MazF-mt7)	mazF4 mazF-mt7 Rv1495 MTCY277.17	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	105
P9WII7	reviewed	PDXT_MYCTU	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT Rv2604c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	198
P9WII9	reviewed	PDXS_MYCTU	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)	pdxS Rv2606c MTCY1A10.27	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	299
P9WIJ1	reviewed	PDXH_MYCTU	Pyridoxine 5'-phosphate oxidase (PNP oxidase) (PNPOx) (EC 1.4.3.5) (Pyridoxal 5'-phosphate synthase)	pdxH Rv2607 MTCY1A10.26c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	224
P9WIK1	reviewed	CYSD_MYCTU	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	cysD Rv1285 MTCY373.04	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	309
P9WIK5	reviewed	PAPA3_MYCTU	Acyltransferase PapA3 (EC 2.3.1.278) (EC 2.3.1.279) (Long-chain-acyl-CoA--trehalose acyltransferase) (Mycolipenoyl-CoA--2-(long-chain-fatty acyl)-trehalose mycolipenoyltransferase) (Polyketide synthase-associated protein A3)	papA3 Rv1182	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	472
P9WIK7	reviewed	PAPA2_MYCTU	Trehalose-2-sulfate acyltransferase PapA2 (EC 2.3.1.288) (2-O-sulfo trehalose long-chain-acyltransferase) (Polyketide synthase-associated protein A2)	papA2 Rv3820c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	468
P9WIK9	reviewed	PAPA1_MYCTU	2'-acyl-2-O-sulfo-trehalose (hydroxy)phthioceranyltransferase PapA1 (EC 2.3.1.283) (Polyketide synthase-associated protein A1) (SL659 acyltransferase PapA1)	papA1 Rv3824c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	511
P9WIN1	reviewed	PPGK_MYCTU	Polyphosphate glucokinase (Poly(P) glucokinase) (EC 2.7.1.63) (ATP-dependent glucokinase) (EC 2.7.1.2) (Polyphosphate--glucose phosphotransferase)	ppgK Rv2702 MTCY05A6.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	265
P9WIP9	reviewed	HBHA_MYCTU	Heparin-binding hemagglutinin (Adhesin)	hbhA Rv0475 MTCY20G9.01	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	199
P9WIS1	reviewed	BKDB_MYCTU	3-methyl-2-oxobutanoate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-ketoacid dehydrogenase E1 component subunit beta) (BCKADH E1-beta)	bkdB pdhB Rv2496c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	348
P9WIT3	reviewed	GULDH_MYCTU	L-gulono-1,4-lactone dehydrogenase (EC 1.1.2.-)	Rv1771	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	428
P9WIT9	reviewed	OTC_MYCTU	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argF Rv1656 MTCY06H11.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	307
P9WIX5	reviewed	NUDC_MYCTU	NAD-capped RNA hydrolase NudC (DeNADding enzyme NudC) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)	nudC Rv3199c MTV014.43c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	313
P9WIX9	reviewed	MUTT3_MYCTU	Putative 8-oxo-dGTP diphosphatase 3 (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase 3) (Mutator protein MutT3) (dGTP pyrophosphohydrolase 3)	mutT3 Rv0413	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	217
P9WIY1	reviewed	MUTT2_MYCTU	Putative 8-oxo-dGTP diphosphatase 2 (8-oxo-dGTPase 2) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase 2) (Mutator protein MutT2) (dGTP pyrophosphohydrolase 2)	mutT2 Rv1160	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	141
P9WIY3	reviewed	MUTT1_MYCTU	8-oxo-(d)GTP phosphatase (8-oxo-(d)GTPase) (EC 3.6.1.69) (MtuMutT1) (Mutator protein MutT1)	mutT1 Rv2985	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	317
P9WIZ5	reviewed	MNTH_MYCTU	Divalent metal cation transporter MntH (Mramp)	mntH Rv0924c MTCY21C12.18c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	428
P9WIZ7	reviewed	Y3131_MYCTU	Putative NAD(P)H nitroreductase Rv3131	Rv3131	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344
P9WJ71	reviewed	RSDA_MYCTU	Anti-sigma-D factor RsdA (Regulator of SigD) (Sigma-D anti-sigma factor RsdA)	rsdA Rv3413c MTCY78.16	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	299
P9WJ73	reviewed	EXRBN_MYCTU	3'-5' exoribonuclease Rv2179c (EC 3.1.13.-)	Rv2179c RVBD_2179c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	168
P9WJ83	reviewed	MCTB_MYCTU	Copper transporter MctB (Mycobacterial copper transport protein B)	mctB Rv1698 MTCI125.20	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	314
P9WJ87	reviewed	MAZE6_MYCTU	Antitoxin MazE6	mazE6 mazE-mt3 Rv1991A	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	82
P9WJ99	reviewed	INIA_MYCTU	Isoniazid-induced protein IniA	iniA Rv0342	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	640
P9WJA5	reviewed	HIGB1_MYCTU	Probable endoribonuclease HigB1 (EC 3.1.-.-) (Toxin HigB1)	higB1 higB Rv1955	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	125
P9WJC3	reviewed	ESPJ_MYCTU	ESX-1 secretion-associated protein EspJ (TB27.4)	espJ Rv3878	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280
P9WJC5	reviewed	ESPI_MYCTU	ESX-1 secretion-associated protein EspI	espI Rv3876	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	666
P9WJD5	reviewed	ESPD_MYCTU	ESX-1 secretion-associated protein EspD	espD snm10 Rv3614c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	184
P9WJD7	reviewed	ESPC_MYCTU	ESX-1 secretion-associated protein EspC	espC snm9 Rv3615c MTCY07H7B.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	103
P9WJF5	reviewed	CSM5_MYCTU	CRISPR system Cms protein Csm5 (CRISPR type III A-associated protein Csm5)	csm5 Rv2819c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	375
P9WJI7	reviewed	PNCB2_MYCTU	Nicotinate phosphoribosyltransferase pncB2 (NAPRTase pncB2) (EC 6.3.4.21)	pncB2 Rv0573c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	463
P9WJI9	reviewed	PNCB1_MYCTU	Nicotinate phosphoribosyltransferase pncB1 (NAPRTase pncB1) (EC 6.3.4.21)	pncB1 Rv1330c MTCY130.15c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	448
P9WJJ7	reviewed	NADC_MYCTU	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC Rv1596 MTCY336.08c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	285
P9WJL3	reviewed	MURE_MYCTU	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE Rv2158c MTCY270.10	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	535
P9WJM1	reviewed	MURA_MYCTU	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ Rv1315 MTCY149.01 MTCY373.35	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	418
P9WJM5	reviewed	MSRA_MYCTU	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA Rv0137c MTCI5.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	182
P9WJM9	reviewed	MSHC_MYCTU	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (L-Cys:GlcN-Ins ligase) (EC 6.3.1.13) (Mycothiol ligase) (MSH ligase)	mshC cysS2 Rv2130c MTCY261.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	414
P9WJR9	reviewed	MOAC1_MYCTU	Cyclic pyranopterin monophosphate synthase 1 (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C 1)	moaC1 moaC Rv3111 MTCY164.21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	170
P9WJS3	reviewed	MOAA1_MYCTU	GTP 3',8-cyclase 1 (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A 1)	moaA1 moaA Rv3109 MTCY164.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	359
P9WJS7	reviewed	MMPS5_MYCTU	Siderophore export accessory protein MmpS5	mmpS5 Rv0677c MTV040.05c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	142
P9WJU5	reviewed	MMPL8_MYCTU	Sulfolipid-1 exporter MmpL8	mmpL8 Rv3823c MTCY409.07	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1089
P9WJV3	reviewed	MMPL4_MYCTU	Siderophore exporter MmpL4	mmpL4 Rv0450c MTV037.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	967
P9WJY7	reviewed	NARK2_MYCTU	Probable nitrate/nitrite transporter NarK2	narK2 narK-3 Rv1737c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	395
P9WJZ7	reviewed	Y1220_MYCTU	Probable O-methyltransferase Rv1220c (MtbOMT) (EC 2.1.1.-)	Rv1220c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	224
P9WK07	reviewed	METE_MYCTU	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE Rv1133c MTC22G8.22	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	759
P9WK15	reviewed	MBTK_MYCTU	Lysine N-acyltransferase MbtK (N-acyltransferase MbtK) (EC 2.3.1.-) (Mycobactin synthase protein K)	mbtK Rv1347c MTCY02B10.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	210
P9WK41	reviewed	LPRI_MYCTU	Lipoprotein LprI (Glycolipoprotein LprI) (Lysozyme inhibitor LprI)	lprI Rv1541c MTCY48.24	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	197
P9WK91	reviewed	LIPA_MYCTU	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA Rv2218 MTCY190.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	311
P9WKA5	reviewed	Y3740_MYCTU	Putative diacyglycerol O-acyltransferase Rv3740c (EC 2.3.1.20) (Putative triacylglycerol synthase Rv3740c)	Rv3740c MTV025.088c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	448
